"name","score","year","votes","budget","gross","net_profit","runtime","gender","genre","genre_","rating_","director_","writer_","star_","country_","company_","female_indicator","title_unique_score","cpi","adj_gross","adj_budget"
"The Shining",8.4,1980,927000,1.9e+07,46998772,27998772,146,2,"Drama",7,8,2385,3717,859,52,2079,0,1116,1,46998772,1.9e+07
"The Blue Lagoon",5.8,1980,65000,4500000,58853106,54353106,104,1,"Adventure",2,8,2093,1524,268,53,644,1,1134,1,58853106,4500000
"Star Wars: Episode V - The Empire Strikes Back",8.7,1980,1200000,1.8e+07,538375067,520375067,124,2,"Action",1,6,1028,2384,1444,53,1380,0,1212,1,538375067,1.8e+07
"Airplane!",7.7,1980,221000,3500000,83453539,79953539,88,2,"Comedy",5,6,1201,1865,1863,53,1623,0,1,1,83453539,3500000
"Caddyshack",7.3,1980,108000,6e+06,39846344,33846344,98,2,"Comedy",5,8,981,488,338,53,1593,0,2,1,39846344,6e+06
"Friday the 13th",6.4,1980,123000,550000,39754601,39204601,95,1,"Horror",10,8,2333,4041,196,53,1623,1,519,1,39754601,550000
"The Blues Brothers",7.9,1980,188000,2.7e+07,115229890,88229890,133,2,"Action",1,8,1307,777,1058,53,2042,0,1132,1,115229890,2.7e+07
"Raging Bull",8.2,1980,330000,1.8e+07,23402427,5402427,129,2,"Biography",4,8,1685,1650,1858,53,551,0,3,1,23402427,1.8e+07
"Superman II",6.8,1980,101000,5.4e+07,108185706,54185706,127,2,"Action",1,6,2127,1845,729,53,786,0,40,1,108185706,5.4e+07
"The Long Riders",7,1980,10000,1e+07,15795189,5795189,100,2,"Biography",4,8,2641,395,485,53,2033,0,1124,1,15795189,1e+07
"Any Which Way You Can",6.1,1980,18000,1.5e+07,70687344,55687344,116,2,"Action",1,6,333,3688,401,53,1959,0,68,1,70687344,1.5e+07
"Popeye",5.3,1980,30000,2e+07,49823037,29823037,114,2,"Adventure",2,6,2170,2172,1877,53,1623,0,1,1,49823037,2e+07
"Ordinary People",7.7,1980,49000,6e+06,54766923,48766923,124,2,"Drama",7,8,2205,2166,561,53,1623,0,10,1,54766923,6e+06
"Dressed to Kill",7.1,1980,37000,6500000,31899000,25399000,104,2,"Crime",6,8,295,487,1527,53,952,0,119,1,31899000,6500000
"Somewhere in Time",7.2,1980,27000,5100000,9709597,4609597,103,2,"Drama",7,6,1147,3290,385,53,1732,0,155,1,9709597,5100000
"9 to 5",6.9,1980,29000,1e+07,103300686,93300686,109,1,"Comedy",5,6,478,3019,915,53,1211,1,114,1,103300686,1e+07
"The Fog",6.8,1980,66000,1e+06,21448782,20448782,89,1,"Horror",10,8,1273,1960,20,53,262,1,1118,1,21448782,1e+06
"Cruising",6.5,1980,20000,1.1e+07,19814523,8814523,102,2,"Crime",6,8,2665,4123,31,55,1371,0,1,1,19814523,1.1e+07
"Heaven's Gate",6.8,1980,14000,4.4e+07,3484523,-40515477,219,2,"Adventure",2,8,1742,2710,1268,53,1629,0,5,1,3484523,4.4e+07
"The Final Countdown",6.7,1980,22000,1.2e+07,16647800,4647800,103,2,"Action",1,6,694,3883,1261,53,444,0,1134,1,16647800,1.2e+07
"Xanadu",5.3,1980,12000,2e+07,22762571,2762571,96,1,"Fantasy",9,6,2188,3271,1672,53,2042,1,1,1,22762571,2e+07
"Brubaker",7.2,1980,17000,9e+06,37121708,28121708,131,2,"Crime",6,8,2465,4061,1868,53,2022,0,1,1,37121708,9e+06
"American Gigolo",6.2,1980,22000,4800000,22743674,17943674,117,2,"Crime",6,8,1983,3081,1831,53,1623,0,32,1,22743674,4800000
"Cattle Annie and Little Britches",6.1,1980,604,5100000,534816,-4565184,97,2,"Drama",7,6,1516,890,1975,53,528,0,178,1,534816,5100000
"Private Benjamin",6.2,1980,24000,1e+07,69847348,59847348,109,1,"Comedy",5,8,1015,2879,762,53,2079,1,8,1,69847348,1e+07
"The Hollywood Knights",6.3,1980,4300,4e+06,1e+07,6e+06,91,2,"Comedy",5,8,800,1269,2217,53,1674,0,1123,1,1e+07,4e+06
"Motel Hell",6,1980,11000,3e+06,6342668,3342668,101,2,"Comedy",5,8,1472,3379,1893,53,484,0,8,1,6342668,3e+06
"The Island",5.3,1980,3900,2.2e+07,15716828,-6283172,109,2,"Action",1,8,1783,3109,1527,53,2042,0,1124,1,15716828,2.2e+07
