name,score,year,votes,budget,gross,net_profit,runtime,gender,genre,genre_,rating_,director_,writer_,star_,country_,company_,female_indicator,title_unique_score,cpi,adj_gross,adj_budget,title,rating,log_gross,cos_scores,top_result_index,max_semantic_similarity,max_title_similarity,max_title_similarity_index,len_of_title,len_of_title2,log_len_of_title,log_len_of_title2,log_title_unique_score,log_budget,log_adj_gross,mean_semantic_similarity,mean_title_similarity,median_semantic_similarity,max_title_similarity2,mean_title_similarity2,us_population,adjusted_scaler,year_and_inflation_adjusted_gross
The Shining,8.4,1980,927000.0,19000000.0,46998772.0,27998772.0,146,2,Drama,7,8,2385,3717,859,52,2079,0,1052,1.0,46998772.0,19000000.0,The Shining,2.4736195789473685,17.665632031673425,"tensor([1.0000, 0.1721, 0.1684,  ..., 0.0590, 0.0717, 0.2038])",tensor(4766),0.7525936961174011,0.5897678246195885,2903,2,11,0.6931471805599453,2.3978952727983707,6.9584483932976555,16.759949537130716,17.665632031673425,0.18288159370422363,0.1124075434109188,0.16905514895915985,0.12407251669183811,0.01457291161963391,226545805,0.6835006680856248,68761852.32069485
The Blue Lagoon,5.8,1980,65000.0,4500000.0,58853106.0,54353106.0,104,1,Adventure,2,8,2093,1524,268,53,644,1,1069,1.0,58853106.0,4500000.0,The Blue Lagoon,13.078468,17.890555168527623,"tensor([0.1721, 1.0000, 0.0667,  ..., 0.0953, 0.2714, 0.0683])",tensor(2941),0.645036518573761,0.7745966692414834,951,3,15,1.0986122886681098,2.70805020110221,6.974478911025045,15.319587954740548,17.890555168527623,0.1258087158203125,0.09300460300292782,0.11493629962205887,0.7900567161868077,0.013364368056369544,226545805,0.6835006680856248,86105411.08151081
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,1200000.0,18000000.0,538375067.0,520375067.0,124,2,Action,1,6,1028,2384,1444,53,1380,0,1147,1.0,538375067.0,18000000.0,Star Wars: Episode V - The Empire Strikes Back,29.909725944444446,20.104066025787112,"tensor([0.1684, 0.0667, 1.0000,  ..., 0.0923, 0.0314, 0.1410])",tensor(162),0.50993812084198,0.6172133998483676,1972,9,46,2.1972245773362196,3.828641396489095,7.044905117129371,16.70588231586044,20.104066025787112,0.10280048847198486,0.06262191747565604,0.09631960093975067,0.4846442428076341,0.009872623721826707,226545805,0.6835006680856248,787673066.22816
Airplane!,7.7,1980,221000.0,3500000.0,83453539.0,79953539.0,88,2,Comedy,5,6,1201,1865,1863,53,1623,0,1,1.0,83453539.0,3500000.0,Airplane!,23.843868285714287,18.239800615800817,"tensor([0.1782, 0.0897, 0.0565,  ..., 0.0247, 0.1647, 0.0825])",tensor(1235),0.7617274522781372,0.5,130,1,9,0.0,2.1972245773362196,0.0,15.068273526459642,18.239800615800817,0.07989942282438278,9.910802775024777e-05,0.07379758358001709,0.6291423943526865,0.00012470612375672674,226545805,0.6835006680856248,122097231.05866145
Caddyshack,7.3,1980,108000.0,6000000.0,39846344.0,33846344.0,98,2,Comedy,5,8,981,488,338,53,1593,0,2,1.0,39846344.0,6000000.0,Caddyshack,6.641057333333333,17.500541214951607,"tensor([0.1245, 0.1402, 0.0891,  ..., 0.2843, 0.3831, 0.2963])",tensor(1872),0.5945643782615662,0.7071067811865475,665,1,10,0.0,2.302585092994046,0.6931471805599453,15.60727002719233,17.500541214951607,0.1736888438463211,0.00014015991698444944,0.17126905918121338,0.8294196262710242,0.0001644042866741376,226545805,0.6835006680856248,58297447.04069301
Friday the 13th,6.4,1980,123000.0,550000.0,39754601.0,39204601.0,95,1,Horror,10,8,2333,4041,196,53,1623,1,490,1.0,39754601.0,550000.0,Friday the 13th,72.28109272727272,17.498236140793956,"tensor([0.1625, 0.2381, 0.1923,  ..., 0.0715, 0.0111, 0.0799])",tensor(355),0.8074159622192383,0.8660254037844388,50,3,15,1.0986122886681098,2.70805020110221,6.194405391104672,13.217673557208654,17.498236140793956,0.10392545908689499,0.0928231008492512,0.09870944917201996,0.8541658066679931,0.01416581082971721,226545805,0.6835006680856248,58163221.860991344
The Blues Brothers,7.9,1980,188000.0,27000000.0,115229890.0,88229890.0,133,2,Action,1,8,1307,777,1058,53,2042,0,1067,1.0,115229890.0,27000000.0,The Blues Brothers,4.267773703703703,18.56243973437723,"tensor([ 0.0991,  0.1220,  0.0468,  ...,  0.1519,  0.0669, -0.0345])",tensor(3365),0.6104925870895386,0.6666666666666669,1911,3,18,1.0986122886681098,2.8903717578961645,6.9726062513017535,17.111347423968603,18.56243973437723,0.08926723152399063,0.09281310508246536,0.0766715556383133,0.7840738626101362,0.013693970962632057,226545805,0.6835006680856248,168587823.50972727
Raging Bull,8.2,1980,330000.0,18000000.0,23402427.0,5402427.0,129,2,Biography,4,8,1685,1650,1858,53,551,0,3,1.0,23402427.0,18000000.0,Raging Bull,1.3001348333333334,16.968350292898315,"tensor([ 0.1411, -0.0480,  0.3295,  ...,  0.0100, -0.0521,  0.1897])",tensor(4043),0.5714479088783264,0.4999999999999999,629,2,11,0.6931471805599453,2.3978952727983707,1.0986122886681098,16.70588231586044,16.968350292898315,0.08677633851766586,9.910802775024775e-05,0.07542426884174347,0.4765226324697959,9.44544365648753e-05,226545805,0.6835006680856248,34239069.67866824
Superman II,6.8,1980,101000.0,54000000.0,108185706.0,54185706.0,127,2,Action,1,6,2127,1845,729,53,786,0,38,1.0,108185706.0,54000000.0,Superman II,2.003439,18.499359808440857,"tensor([0.3176, 0.1467, 0.2489,  ..., 0.3278, 0.1354, 0.0406])",tensor(166),0.6996629238128662,0.4999999999999999,52,2,11,0.6931471805599453,2.3978952727983707,3.6375861597263857,17.80449460452855,18.499359808440857,0.12595848739147186,0.0036574031370157313,0.11892252415418625,0.6118634447708454,0.0027541071009740134,226545805,0.6835006680856248,158281785.30243537
The Long Riders,7.0,1980,10000.0,10000000.0,15795189.0,5795189.0,100,2,Biography,4,8,2641,395,485,53,2033,0,1059,1.0,15795189.0,10000000.0,The Long Riders,1.5795189,16.575215957958697,"tensor([ 0.3069,  0.0082,  0.0782,  ..., -0.0997, -0.0708,  0.2252])",tensor(600),0.600848913192749,0.5773502691896258,1568,3,15,1.0986122886681098,2.70805020110221,6.9650803456014065,16.11809565095832,16.575215957958697,0.10707566142082214,0.09218276084606238,0.10429073870182037,0.4158637211119828,0.011720347840723606,226545805,0.6835006680856248,23109251.735246696
