"show_id","type","title","release_year","rating","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage"
"s408","Movie","All Day and a Night",2020,"R","R","Rotten",57,35,"Upright",63,105,"Male",1,2,50
"s428","Movie","Almost Love",2020,"TV-MA","NR","Fresh",67,30,"Upright",71,34,"Male",4,6,67
"s715","Movie","Banana Split",2020,"TV-MA","R","Certified-Fresh",89,53,"Upright",60,172,"Male",1,6,17
"s1451","Movie","Coffee & Kareem",2020,"TV-MA","NR","Rotten",20,69,"Spilled",30,398,"Male",1,3,33
"s2072","Movie","Extraction",2020,"R","R","Fresh",66,207,"Upright",69,3755,"Male",3,8,38
"s2072","Movie","Extraction",2020,"R","R","Rotten",6,18,"Spilled",17,1093,"Male",3,8,38
"s2142","Movie","Feel the Beat",2020,"TV-G","NR","Rotten",47,15,"Spilled",57,141,"Male",2,5,40
"s2622","Movie","Hard Kill",2020,"R","NR","Rotten",0,17,"Upright",71,308,"Male",3,3,100
"s2656","Movie","Have a Good Trip: Adventures in Psychedelics",2020,"TV-MA","NR","Rotten",58,26,"Upright",72,118,"Male",2,2,100
"s2813","Movie","Horse Girl",2020,"R","R","Fresh",70,56,"Spilled",48,433,"Male",4,8,50
"s3205","Movie","John Henry",2020,"R","R","Rotten",0,20,"Spilled",23,168,"Male",3,3,100
"s3732","Movie","Lost Girls",2020,"R","R","Fresh",72,50,"Spilled",52,279,"Male",4,9,44
"s5499","Movie","Sergio",2020,"R","R","Rotten",43,46,"Spilled",51,168,"Male",2,3,67
"s5751","Movie","Spenser Confidential",2020,"R","R","Rotten",37,82,"Spilled",53,1120,"Male",3,5,60
"s6102","TV Show","The Baby-Sitters Club",2020,"TV-G","PG","Fresh",67,15,"Spilled",47,9969,"Male",2,2,100
"s6572","Movie","The Last Thing He Wanted",2020,"R","R","Rotten",5,56,"Spilled",13,297,"Male",5,7,71
"s6593","TV Show","The Liberator",2020,"TV-MA","R","Rotten",38,26,"Upright",65,2192,"Male",2,2,100
"s6620","Movie","The Lost Husband",2020,"PG-13","PG-13","Rotten",55,22,"Upright",65,256,"Male",1,4,25
"s6636","Movie","The Main Event",2020,"TV-G","NR","Rotten",26,19,"Spilled",23,64,"Male",2,6,33
"s6636","Movie","The Main Event",2020,"TV-G","PG","Rotten",40,10,"Spilled",42,2366,"Male",2,6,33
"s6709","Movie","The Night Clerk",2020,"R","R","Rotten",36,45,"Spilled",31,227,"Male",3,6,50
"s6726","TV Show","The Order",2020,"TV-MA","R","Rotten",0,6,"Spilled",28,8940,"Male",7,18,39
"s6726","TV Show","The Order",2020,"TV-MA","R","Rotten",8,60,"Spilled",38,22588,"Male",7,18,39
"s6976","Movie","The Vanished",2020,"R","R","Rotten",15,13,"Spilled",49,66,"Male",4,5,80
"s7025","Movie","The Wrong Missy",2020,"TV-MA","NR","Rotten",33,57,"Spilled",51,1035,"Male",4,8,50
"s7085","Movie","Tigertail",2020,"PG","PG","Certified-Fresh",81,77,"Upright",67,137,"Male",3,4,75
"s7113","Movie","To All the Boys: P.S. I Still Love You",2020,"TV-14","NR","Certified-Fresh",75,71,"Spilled",40,500,"Male",3,7,43
"s7327","Movie","Uncorked",2020,"TV-MA","NR","Certified-Fresh",91,46,"Upright",65,198,"Male",2,2,100
"s7711","Movie","Yes, God, Yes",2020,"R","R","Certified-Fresh",94,109,"Upright",68,391,"Male",2,5,40
"s76","Movie","1BR",2019,"TV-MA","NR","Certified-Fresh",86,71,"Spilled",55,377,"Male",2,2,100
"s128","Movie","6 Underground",2019,"R","R","Rotten",36,92,"Upright",60,4122,"Male",5,7,71
"s161","Movie","A Christmas Prince: The Royal Baby",2019,"TV-PG","NR","Rotten",33,9,"Spilled",31,80,"Male",3,6,50
"s324","Movie","After",2019,"PG-13","PG-13","Rotten",19,37,"Upright",69,2660,"Male",2,10,20
"s324","Movie","After",2019,"PG-13","R","Rotten",8,12,"Upright",65,173,"Male",2,10,20
"s475","Movie","American Son",2019,"TV-MA","NR","Rotten",48,25,"Spilled",50,330,"Male",2,6,33
"s475","Movie","American Son",2019,"TV-MA","R","Fresh",100,13,"Spilled",51,602,"Male",2,6,33
"s519","Movie","Angel Has Fallen",2019,"R","R","Rotten",39,183,"",93,14668,"Male",6,8,75
"s639","Movie","Awake",2019,"TV-MA","NR","Rotten",14,7,"Spilled",37,27,"Male",3,8,38
"s639","Movie","Awake",2019,"TV-MA","R","Rotten",24,63,"Spilled",54,237790,"Male",3,8,38
"s683","Movie","Backdraft 2",2019,"R","R","Rotten",40,5,"Spilled",16,88,"Male",5,6,83
