"rotten_tomatoes_link","movie_title","original_release_date","content_rating","tomatometer_status","tomatometer_rating","tomatometer_count","audience_status","audience_rating","audience_count","gender","num_of_gender","num_of_casts","gender_rato_percentage","release_year","rating"
"m/1917_2019","1917",2020-01-10,"R","Certified-Fresh",89,444,"",88,30494,"Male",9,9,100,2020,"R"
"m/akira","Akira",2020-09-24,"R","Certified-Fresh",90,49,"Upright",90,148559,"Male",2,5,40,2020,"R"
"m/antebellum","Antebellum",2020-08-21,"R","Rotten",28,161,"Spilled",56,538,"Male",3,6,50,2020,"R"
"m/arkansas","Arkansas",2020-05-05,"R","Rotten",47,64,"Spilled",54,233,"Male",5,6,83,2020,"R"
"m/bad_boys_for_life","Bad Boys for Life",2020-01-17,"R","Certified-Fresh",77,257,"",96,42965,"Male",5,7,71,2020,"R"
"m/banana_split_2020","Banana Split",2020-03-27,"R","Certified-Fresh",89,53,"Upright",60,172,"Male",1,6,17,2020,"R"
"m/behind_you","Behind You",2020-04-17,"R","Rotten",6,16,"Spilled",30,56,"Male",2,5,40,2020,"R"
"m/bill_and_ted_face_the_music","Bill & Ted Face the Music",2020-08-28,"PG-13","Certified-Fresh",82,235,"Upright",72,2203,"Male",5,11,45,2020,"PG-13"
"m/birds_of_prey_2020","Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn)",2020-02-07,"R","Certified-Fresh",78,410,"",78,15715,"Male",5,10,50,2020,"R"
"m/bloodshot_2020","Bloodshot",2020-03-13,"PG-13","Rotten",30,159,"",78,1646,"Male",7,8,88,2020,"PG-13"
"m/brahms_the_boy_ii","Brahms: The Boy II",2020-02-21,"PG-13","Rotten",9,56,"",44,1304,"Male",2,5,40,2020,"PG-13"
"m/burden_2020","Burden",2020-02-28,"R","Rotten",51,68,"",97,29,"Male",3,5,60,2020,"R"
"m/the_shadow_of_violence","Calm with Horses (The Shadow of Violence)",2020-07-31,"R","Certified-Fresh",94,65,"Upright",68,50,"Male",1,2,50,2020,"R"
"m/capone_2020","Capone",2020-05-12,"R","Rotten",41,128,"Spilled",25,562,"Male",6,9,67,2020,"R"
"m/come_to_daddy","Come to Daddy",2020-02-07,"R","Certified-Fresh",87,100,"",75,8,"Male",4,6,67,2020,"R"
"m/disturbing_the_peace_2020","Disturbing the Peace",2020-01-17,"R","",NA,NA,"",NA,NA,"Male",3,4,75,2020,"R"
"m/dolittle","Dolittle",2020-01-17,"PG","Rotten",14,228,"",76,11526,"Male",10,17,59,2020,"PG"
"m/emma_2020","Emma.",2020-02-21,"PG","Certified-Fresh",87,235,"",72,2093,"Male",3,10,30,2020,"PG"
"m/emperor_2020","Emperor",2020-03-27,"PG-13","Fresh",77,13,"Upright",68,31,"Male",3,6,50,2020,"PG-13"
"m/escape_from_pretoria","Escape from Pretoria",2020-03-06,"PG-13","Fresh",71,42,"Upright",74,203,"Male",2,2,100,2020,"PG-13"
"m/fantasy_island_2020","Fantasy Island",2020-02-14,"PG-13","Rotten",7,107,"",48,3565,"Male",5,10,50,2020,"PG-13"
"m/fatima_2020","Fatima",2020-08-28,"PG-13","Fresh",62,42,"",94,69,"Male",4,4,100,2020,"PG-13"
"m/first_cow","First Cow",2020-03-06,"PG-13","Certified-Fresh",96,143,"",56,36,"Male",4,4,100,2020,"PG-13"
"m/force_of_nature_2020","Force of Nature",2020-06-30,"R","Rotten",9,35,"Spilled",20,143,"Male",5,6,83,2020,"R"
